danceability,energy,music_key,loudness,music_mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,time_signature
0.665,0.732,5,-4.865,1,0.173,0.768,0.0,0.378,0.436,82.026,4BBnKqIS2pj2hX0zm0CZZx,4
0.69,0.876,5,-2.503,0,0.091,0.139,0.0,0.281,0.592,104.0,5kBJH5gU89axZDauhfddpy,4
0.852,0.762,6,-4.448,0,0.0487,0.333,1.66e-06,0.159,0.907,131.958,2xeaHUnzzT5Kc974OQt1kA,4
0.852,0.749,2,-6.218,1,0.0488,0.0177,0.000133,0.0695,0.386,103.06,5VXSt0cvi5wtJTox0wKI4x,4
0.704,0.608,9,-6.339,1,0.0314,0.0717,0.0,0.13,0.527,144.959,4r34Yi0eltsu1tp6z4lq3x,4
0.812,0.761,11,-5.222,1,0.0812,0.0465,0.000135,0.0601,0.344,130.032,4SFknyjLcyTLJFPKD2m96o,4
0.923,0.604,11,-6.671,0,0.245,0.017,0.0,0.272,0.826,145.062,1jaTQ3nqY3oAAYyCTbIvnM,4
0.792,0.793,5,-6.185,0,0.0841,0.0872,0.0,0.22,0.775,123.031,3w1WjD2zJqjBjDz5fwqQPJ,4
0.372,0.273,7,-10.629,1,0.0268,0.782,0.0463,0.219,0.165,60.038,5VBjyOQzqlPNgdRPMM6prF,4
0.529,0.469,1,-6.967,0,0.0358,0.0899,1.53e-05,0.831,0.344,87.864,0eFMbKCRw8KByXyWBw8WO7,4
0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,5QDLhrAOJJdNAmCTJ8xMyW,4
0.689,0.771,5,-3.618,1,0.0548,0.00776,0.0,0.521,0.482,157.052,4XPXrcpyNr30Km6aPiflJy,4
0.899,0.691,0,-7.554,1,0.0497,0.18,0.000451,0.135,0.865,107.951,2aWVaW1p2kUc5yuKwBmRJi,4
0.904,0.723,11,-5.224,0,0.26,0.0631,0.0,0.185,0.835,145.013,2MbdDtCv5LUVjYy9RuGTgC,4
0.653,0.634,5,-5.875,0,0.0391,0.0232,0.0,0.0908,0.306,160.013,3QSjVPObHxuAJc3E5nrjRn,4
0.654,0.707,6,-5.661,1,0.0664,0.00559,0.0,0.0873,0.448,127.97,4Ws314Ylb27BVsvlZOy30C,4
0.701,0.556,9,-7.42,0,0.0414,0.00886,0.000122,0.106,0.333,152.045,1XnpzbOGptRwfJhZgLbmSr,4
0.945,0.582,11,-8.357,0,0.0719,0.114,0.0,0.103,0.907,108.025,57VeLYXrvNxe8Vs18K2M9W,4
0.631,0.649,8,-4.939,0,0.0377,0.17,0.0,0.321,0.459,108.07,69WpV0U7OMNFGyq8I63dcC,4
0.873,0.575,10,-7.284,0,0.0702,0.0891,0.0,0.108,0.872,103.005,4RKJRRd4VJfZWiqQTYsleE,4
0.566,0.716,1,-5.733,1,0.0424,0.00691,0.0,0.37,0.45,81.068,5FVbvttjEvQ8r2BgUcJgNg,4
0.657,0.88,10,-3.672,0,0.102,0.121,0.0,0.463,0.769,150.084,37ZtpRBkHcaq6hHy0X98zn,4
0.82,0.842,7,-3.853,1,0.272,0.157,0.0,0.112,0.653,107.952,0XuepwFJUcKN8T5zTqoP0F,4
0.71,0.82,3,-4.362,0,0.0836,0.00962,0.0,0.0871,0.746,112.005,3ObPkJQAgjAhTwYvDhPrAW,4
0.904,0.723,11,-5.224,0,0.26,0.0631,0.0,0.185,0.835,145.013,0ZLuW8uOXdFNWcI40C0OC2,4
0.809,0.911,6,-4.41,0,0.0617,0.00795,0.000179,0.181,0.64,122.035,4pspYVQGFHLPEFgQPD1J7e,4
0.702,0.692,10,-5.405,1,0.0539,0.0542,0.0,0.0877,0.419,144.896,2xtP8RNbo2BEMzLX7tK7aq,4
0.779,0.762,10,-5.188,0,0.0631,0.0224,0.0,0.121,0.859,110.043,4bZZVcgWWMWPBwzTTp642w,4
0.659,0.718,7,-5.607,0,0.0507,0.202,1.01e-06,0.2,0.297,136.96,5dntGTbUtmUO239wQ0k3yM,4
0.66,0.787,1,-4.592,0,0.032,0.00257,0.0,0.323,0.199,142.018,6juLaduD4STCUDWT0AYun4,4
0.914,0.463,6,-10.187,0,0.174,0.038,0.0,0.0833,0.532,144.039,5faz5WYRJdRDiCa42DSgHR,4
0.719,0.757,2,-5.167,0,0.0849,0.137,0.0,0.129,0.489,147.024,2EmcTFQ1rM11wp2ztsXTHa,4
0.658,0.749,9,-2.967,0,0.0634,0.238,2.03e-06,0.272,0.442,128.909,0ZeGfEAL5Rl4pd5LZBGuEK,4
0.727,0.513,6,-8.823,0,0.0524,0.0335,0.0,0.302,0.568,76.211,0LcsvJQSFIQo3RjNhPcYqT,4
0.794,0.756,5,-7.16,0,0.136,0.11,0.0,0.247,0.775,123.066,4DuUwzP4ALMqpquHU0ltAB,4
0.804,0.633,4,-6.186,1,0.0612,0.0371,0.000119,0.102,0.67,115.002,7qq0EOPW4RRlqdvMBmdd73,4
0.583,0.817,9,-5.146,0,0.099,0.118,0.0,0.338,0.437,105.935,0fZRNhPJ4AGmwY7rkpdbqK,4
0.676,0.857,10,-4.368,0,0.0438,0.0215,0.0,0.254,0.717,149.981,2V4Fx72svQRxrFvNT1eq5f,4
0.79,0.701,9,-4.81,1,0.365,0.0317,8.06e-05,0.0311,0.91,159.972,4JUPEh2DVSXFGExu4Uxevz,4
0.676,0.869,1,-1.573,1,0.0423,0.115,0.0,0.132,0.594,120.029,0pYacDCZuRhcrwGUA5nTBe,4
0.621,0.821,6,-3.662,0,0.0364,0.00548,0.000578,0.142,0.646,120.062,46WaBBaEHzgbN88Ew0nh50,4
0.625,0.686,6,-3.715,0,0.0414,0.139,0.0,0.11,0.263,133.041,245onUPHGD1DYuiacxTuW0,4
0.674,0.641,0,-5.139,0,0.0339,0.149,0.0,0.0925,0.664,99.91,0YJFlxeHMUr9MxSDQVuQJA,4
0.776,0.911,2,-3.08,0,0.131,0.155,2.59e-06,0.268,0.56,101.027,1ehags7lQMM1qX94VJkoaf,4
0.74,0.566,1,-8.389,0,0.32,0.0034,0.0,0.589,0.342,156.197,6MDdceLYec4AxohmorE4vH,4
0.794,0.762,4,-3.525,0,0.0392,0.0358,1.41e-06,0.191,0.482,109.97,2DmRXiyn03tOqKgEJXlaiJ,4
0.686,0.64,8,-5.491,1,0.159,0.0334,0.0,0.0801,0.597,162.225,7iKDsPfLT0d5mu2htfMKBZ,4
0.72,0.824,10,-5.086,0,0.128,0.0394,0.0,0.0509,0.333,165.996,2QZe2H1f03t5PJWEMg2Mbe,4
0.544,0.796,1,-5.754,1,0.0604,0.313,0.00673,0.42,0.473,105.145,5JXpZcc3CeQaC6vAF1iaV5,4
0.56,0.547,1,-6.456,1,0.0675,0.0806,0.0,0.11,0.199,157.962,6fqaMyg066xlukvUJWdM2T,4
0.477,0.85,3,-1.486,0,0.0911,0.00108,0.0,0.0675,0.601,163.845,6mIjJONoUMvGPT9Kzrab3L,4
0.874,0.787,10,-2.416,0,0.129,0.118,0.0,0.11,0.896,108.007,1iIhGHzzrzqQfuNkFI2qAn,4
0.608,0.939,11,-4.723,0,0.0579,0.0116,0.0398,0.0656,0.403,175.028,2JV5OBqTMW1F6PYOGZJatP,4
0.79,0.729,9,-3.843,1,0.334,0.0342,9.31e-05,0.0411,0.904,159.989,2J4P46vCFm1rPkNkp9pZWX,4
0.649,0.767,11,-3.838,0,0.0455,0.24,0.0,0.0929,0.608,149.918,6kKC35sKUh2FUx4M0qAL44,4
0.419,0.621,11,-6.901,1,0.0305,0.252,0.0367,0.125,0.727,79.692,4i2T7Nm4Q72sNnSlGADSm6,4
0.88,0.58,5,-5.032,0,0.0438,0.016,3.83e-06,0.0936,0.754,124.003,1AgSUWSzmza5jF6ER5R68v,4
0.645,0.862,11,-4.761,0,0.0845,0.0933,0.0,0.193,0.803,119.947,4a9tbd947vo9K8Vti9JwcI,4
0.664,0.666,8,-2.203,1,0.0446,0.193,0.0,0.0854,0.405,139.987,3CYH422oy1cZNoo0GTG1TK,4
