artist_name,artist_id,track_name,track_id,track_popularity,artist_popularity,artist_genres,artist_followers
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,3D (feat. Jack Harlow) (A. G. Cook Remix),7fQKDpB4i0hiQacjVCXVU2,59,89,['k-pop'],11467146
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Seven (David Guetta Remix - Extended),0EGVwtzxVKpwRP30ydQ8mZ,59,89,['k-pop'],11467146
Eric Nam,2FLqlgckDKdmpBrvLAT5BM,Exist,5pN3aV3fTyaXOJzlb6Q9Hz,52,58,['k-pop'],2235528
WayV,1qBsABYUrxg9afpMtyoFKz,Moonlight,3gTMZvfiqvg5zq2V5gO8g0,57,61,"['chinese idol pop', 'k-pop']",2038184
TOMORROW X TOGETHER,0ghlgldX5Dd6720Q3qFyQB,Back for More (with Anitta),1p0kTGMwMtSTcV7fAnkkQc,61,76,"['k-pop', 'k-pop boy group']",9109873
SHINee,2hRQKC0gqlZGPrmUKbcchR,JUICE,2ka8U0A2e93hBFA43mbgfy,56,61,"['k-pop', 'k-pop boy group']",3110369
j-hope,0b1sIQumIAsNbqAoIClSpy,Future (Lollapalooza ver.),4Q6S4uWD8dwpWiI3VkdBuV,59,68,"['k-pop', 'k-rap']",16590748
IVE,6RHTUrRF63xao58xh9FXYJ,Cherish,3cw6T3OEgqLiqEDLDQPSnE,59,74,['k-pop girl group'],3202857
Eric Nam,2FLqlgckDKdmpBrvLAT5BM,Sink or Swim,5BFxJxzNIft1OegdFpdY8M,53,58,['k-pop'],2235528
NCT U,3paGCCtX1Xr4Gx53mSeZuQ,Alley Oop,2lycyC7AIOSp811aJ5aRXR,47,64,"['k-pop', 'k-pop boy group']",4231252
tripleS,5Z71xE9prhpHrqL5thVMyK,Invincible,3FWXkGqJx0giJzQNqkcK74,59,54,['k-pop girl group'],285350
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Seven (feat. Latto) (Lofi Mix),0anAdKplcEJcshuFGZS3cN,61,89,['k-pop'],11467146
