artist_id,artist_name,artist_popularity,artist_followers,track_id,track_name,release_date,artist_genres,track_popularity,album_image
6aLdhHUqgdKE86xbtNmY8g,Crush,63,1174984,6HKktb4MMeYSKFnNExGfKg,Bad Habits (Feat. LeeHi),2023-11-14,"['k-pop', 'korean r&b']",52,https://i.scdn.co/image/ab67616d00001e02518825572b402484dff66429
1oSPZhvZMIrWW5I41kPkkY,Jimin,81,6948238,2rgCR1PPHPGJBppdBOqor0,"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) - Trailer Version",2023-05-18,['k-pop'],58,https://i.scdn.co/image/ab67616d00001e0221ba737cb75af968200cf4bc
3cjEqqelV9zb4BYE3qDQ4O,EXO,69,9788318,7I5GXijbz8XNZjbn45t8bu,Cinderella,2023-07-10,"['k-pop', 'k-pop boy group']",58,https://i.scdn.co/image/ab67616d00001e027657059390a7871c158fd966
2e4G04F77jxVuDYo44TCSm,Loco,58,411344,0tSDqQOK8EgoRxYXWkP5rR,NOT OK (Feat. MINNIE),2023-10-17,"['k-pop', 'k-rap', 'korean r&b']",56,https://i.scdn.co/image/ab67616d00001e028b034fcde00a40d704b832a2
0IwZVmMMGE7nNXS7vN9SIo,MISAMO,57,502490,14nturKxV48wR3lbknehiu,Behind The Curtain,2023-07-26,['k-pop girl group'],59,https://i.scdn.co/image/ab67616d00001e025babc6b49ac8a93fc5fc464a
1gBUSTR3TyDdTVFIaQnc02,NCT DREAM,70,7391266,4qJYwbYkxvijEEbTk5uF4m,Blue Wave,2023-07-17,['k-pop boy group'],53,https://i.scdn.co/image/ab67616d00001e02a1ee973dde5ec47914ebc0e1
01XYiBYaoMJcNhPokrg0l0,STAYC,61,1611711,4o5kutixgRy60bljwP4zyr,﻿I Wanna Do,2023-08-16,"['k-pop', 'k-pop girl group']",51,https://i.scdn.co/image/ab67616d00001e0205f3e920cfd3ae7fe9192149
4TEK9tIkcoxib4GxT3O4ky,KISS OF LIFE,60,288714,4eYHnUeE6mVXKg6S7kOatk,My 808,2023-11-08,['k-pop girl group'],56,https://i.scdn.co/image/ab67616d00001e0296d36aec71bf25f59df5cc96
6QHP8St0MzfNDqjKpwtMht,xikers,49,277703,3qiAJa0kAWCYigVU4oflbC,Koong,2023-08-02,['k-pop boy group'],53,https://i.scdn.co/image/ab67616d00001e021f486f9857783ac901932f7e
0LOK81e9H5lr61HlGGHqwA,XG,66,1008880,2YLwxR4HLqsBdQG2Uw3J5C,GRL GVNG,2023-09-27,['k-pop girl group'],56,https://i.scdn.co/image/ab67616d00001e02e9b58064013b722f09296b3e
