artist_name,artist_id,track_name,track_id,track_popularity
SEVENTEEN,7nqOGRxlXj7N2JYbgNEjYH,SOS (Prod. Marshmello),3oTDi9MWC0JB39FcsLRon3,74
HWASA,7bmYpVgQub656uNTu6qGNQ,Chili,253P6uwLnelVQ6MdwXMIJk,75
TOMORROW X TOGETHER,0ghlgldX5Dd6720Q3qFyQB,Growing Pain,7r8aFgJzUbqpApUNmzV5yY,70
TOMORROW X TOGETHER,0ghlgldX5Dd6720Q3qFyQB,Devil by the Window,53H3sGmqiXWO4MwuZAJfyn,71
ENHYPEN,5t5FqBwTcgKTaWmfEbwQY9,Orange Flower (You Complete Me),5Cb3JSisvjlZhjSfYD6d7C,73
EXO,3cjEqqelV9zb4BYE3qDQ4O,Cream Soda,42h7yc9Rda1IOMYLACVgld,74
TOMORROW X TOGETHER,0ghlgldX5Dd6720Q3qFyQB,Do It Like That,0XM1XnOYv8BkFPFVCU8ZjX,71
NewJeans,6HvZYsbFfjnjFrWF950C9d,Zero,5LMoKDVzW2kDneNu2UbspP,71
XG,0LOK81e9H5lr61HlGGHqwA,NEW DANCE,6Pjzy9avwlVr4UAbxkQQmh,74
TOMORROW X TOGETHER,0ghlgldX5Dd6720Q3qFyQB,Blue Spring,7o3sxXABQ4VacMPDa6hUFO,70
TAEYANG,6udveWUgX4vu75FF0DTrXV,VIBE (feat. Jimin of BTS),4NIe9Is7bN5JWyTeCW2ahK,70
TOMORROW X TOGETHER,0ghlgldX5Dd6720Q3qFyQB,Back for More (TXT Ver.),2AdzsePCqH6NUcMq7tYYmx,70
LE SSERAFIM,4SpbR6yFEvexJuaBpgAU5p,FEARLESS (2023 Ver.),4K8jDTlNhZWEdnzZVGRMtN,74
Red Velvet,1z4g3DjTBBZKhvAroFlhOM,Knock Knock (Who's There?),5nTemr4PG8L9jQoqxsZu6w,67
ENHYPEN,5t5FqBwTcgKTaWmfEbwQY9,Blind,5zyAmGZ6IfotltMUqzMhdg,72
TWICE,7n2Ycct7Beij7Dj7meI4X0,MOONLIGHT SUNRISE,5NcLyVjUgG0yfwHgr5t81w,70
ENHYPEN,5t5FqBwTcgKTaWmfEbwQY9,Chaconne,7nBjhYbLttb9LHZHqNuld5,70
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Seven (feat. Latto) (Clean Ver.),6ZUdN0SmTwV7orWD14Emwl,77
Red Velvet,1z4g3DjTBBZKhvAroFlhOM,Will I Ever See You Again?,0IVwlMnmT0CS8opHfFZAWp,66
(G)I-DLE,2AfmfGFbe0A0WsTYm0SDTx,I Want That,3F2BLyGt6zYLrHYpbdTw5L,74
TOMORROW X TOGETHER,0ghlgldX5Dd6720Q3qFyQB,Skipping Stones,0bPy1iMfSOO2pevpXLhnoG,70
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,Seven (feat. Latto) (Clean Ver.),4yk9mD1iZpUg2HE3z9HhdP,78
NCT DOJAEJUNG,0W0w607z3JEA1vXLz9FVGw,Perfume,0jd4aa9XgV5eom0ez0WBrD,71
TOMORROW X TOGETHER,0ghlgldX5Dd6720Q3qFyQB,"Farewell, Neverland",43mnNatwMMydJ4CxMdQVnJ,70
XG,0LOK81e9H5lr61HlGGHqwA,GRL GVNG,5OqMZ8In8CkCa0SbknnDPl,71
Stray Kids,2dIgFjalVxs4ThymZ67YCE,Collision,2vukoriV9e7oyOojN1NtsB,68
TOMORROW X TOGETHER,0ghlgldX5Dd6720Q3qFyQB,Deep Down,4iK0QSCW3nmt6bsZtAjzX6,69
BSS,1uAT5bTSp6dWbNmixIUP5t,Fighting (Feat. Lee Young Ji),7eBpUuPnDTfbeP1P4P93CS,74
